,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008
Lizette,625,681,760,778,684,707,804,779,,
Lloyd,490,552,613,728,893,922,991,,,
Logan,610,89,70,42,44,40,329,352,432,430
Lola,,,,,,,754,520,280,246
London,,,989,,,895,874,869,638,550
Londyn,,,,,,,,,,507
Lonnie,508,540,576,672,789,825,906,,,
Lora,768,873,,,,,,,,
Lorelai,,,,,,,,,989,884
Lorelei,,,,,,,,963,740,680
Loren,630,645,701,890,975,704,983,,,
Lorena,383,360,349,347,445,517,508,599,705,729
Lorenzo,309,333,296,274,295,314,297,295,301,335
Loretta,934,,,,,,,,,
Lori,323,400,475,648,718,865,,,,
Lorraine,656,750,900,,,,,,,
Louie,844,,,,,,,,,
Louis,168,193,206,234,252,279,272,302,326,351
Lourdes,910,845,938,,889,962,,,,
Luc,,,,,,,930,,,
Luca,,,,,,626,524,394,349,304
Lucas,112,106,95,93,93,83,75,67,59,46
Lucero,867,781,647,762,869,,,,973,
Lucia,582,582,597,576,630,490,525,411,340,304
Lucian,,,,,,,,,824,811
Luciana,,,,,,,,,927,744
Luciano,,,,905,959,879,921,757,704,666
Lucille,,,,,,,,869,728,615
Lucy,451,478,472,406,392,323,262,203,152,112
Luis,66,64,58,57,53,49,57,57,62,64
Luisa,968,999,,993,,976,952,,,
Luka,,,,,,,,847,807,774
Lukas,528,457,435,382,392,367,317,294,241,245
Luke,118,93,91,75,75,59,46,41,43,43
Luna,,,,,,,,723,516,399
Luther,767,906,992,,,,,,,
Luz,604,631,646,679,501,533,593,602,591,732
Lydia,206,205,188,175,153,149,137,126,131,120
Lyla,,,,,,,,,639,222
Lyle,633,757,890,,,,,,,
Lyndsay,715,779,926,,,,,,,
Lyndsey,384,455,495,593,627,637,891,927,,
Lynette,820,832,999,,,,,,,
Lynn,580,743,787,933,,,,,,
Lynsey,987,,,,,,,,,
Lyric,,,,548,639,799,744,715,644,939
Macey,,846,805,745,608,512,574,605,636,640
Maci,,,,,914,764,728,555,666,723
Macie,,,912,763,701,487,474,474,479,428
Mackenzie,524,411,366,75,64,697,42,45,53,65
Macy,641,433,380,366,337,232,221,233,267,281
Madalyn,,910,698,532,402,383,356,401,358,292
Madalynn,,,,,,,899,826,794,593
Madden,,,,,,,,,,615
Maddison,,,764,530,460,436,499,514,403,327
Maddox,,,,,,,,378,235,208
Madeleine,578,468,293,263,216,278,292,332,337,271
Madeline,197,138,92,67,50,56,55,63,71,56
Madelyn,733,575,455,322,162,125,120,111,113,63
Madelynn,,,,,631,541,519,546,549,385
Madilyn,,,,,805,641,567,502,436,287
Madilynn,,,,,,,,,,662
Madisen,,,,904,698,652,843,873,,
Madison,847,781,678,638,9,3,2,858,3,4
Madisyn,,,,,578,453,418,405,414,366
Madyson,,,,958,628,472,443,454,408,388
Maegan,576,643,587,725,648,774,903,,,
Maeve,,,,,881,775,710,708,645,638
Magdalena,919,921,782,814,816,899,984,807,908,903
Magen,875,,,,,,,,,
Maggie,288,271,232,256,249,198,189,206,189,214
Mai,796,957,901,,,,,,,
Maia,,,,823,538,548,533,563,506,649
Maira,800,732,829,,,,,,,
Maiya,,,,,,994,,,,
Makai,,,,,,,,,856,897
Makaila,,,,,,,851,993,934,977
Makala,,,,,781,,,,,
Makayla,804,564,198,129,71,67,49,47,45,37
Makena,,,,,,,774,829,802,873
Makenna,,,904,531,422,277,241,227,231,229
Makenzie,,603,400,306,269,199,198,213,196,162
Makhi,,,,,,,,,,960
Malachi,959,784,633,505,413,351,210,179,150,162
Malakai,,,,,,,897,771,727,629
Malaki,,,,,,,,926,803,901
Malaya,,,,,,,,,939,
Malcolm,241,206,277,314,366,368,426,534,545,546
Malcom,873,766,,,,,,,,
Male,701,,966,,,,,,,
Maleah,,,,,,,884,917,847,840
Malia,,997,974,780,653,498,426,449,410,345
Malik,557,395,308,97,139,176,211,243,290,282
Maliyah,,,,,,,904,928,871,635
Mallory,162,172,187,183,204,213,253,186,234,253
Mandi,876,,,,,,,,,
Mandy,467,645,756,791,,995,942,845,,
Manuel,134,131,143,145,147,159,164,168,164,186
Mara,540,613,606,585,589,606,608,637,681,812
Maranda,596,493,407,550,642,866,,,,
Marc,163,213,213,232,242,228,282,335,408,455
Marcel,560,558,641,626,661,750,854,840,957,837
Marcela,,987,,,,,,,,
Marcella,759,749,913,,897,,965,,,
Marcelo,974,985,,875,845,849,875,924,890,775
Marcia,901,,,,,,,,,
Marco,226,198,184,174,181,182,187,191,206,223
Marcos,273,263,253,224,236,241,247,244,248,257
Marcus,72,82,75,87,96,99,106,116,112,125
Mareli,,,,,,,,,,718
Marely,,,,,,,,,,334
Maren,,,,,,,,944,,965
Margaret,102,102,106,105,114,110,129,133,161,180
Margarita,459,463,487,511,609,654,734,929,944,
Mari,933,,993,,,,,,,
Maria,47,45,47,37,43,41,40,42,47,64
Mariah,259,74,74,63,62,76,130,113,81,78
Mariam,,925,916,821,748,683,671,681,692,691
Marian,935,911,,,,735,,,,
Mariana,508,538,442,413,340,332,257,171,176,199
Marianna,,,,869,882,795,749,692,689,807
Marianne,980,,,,,,,,,
Mariano,,,,,1000,920,996,,,
Maribel,393,415,496,502,577,648,732,764,803,935
Maricela,583,682,775,818,918,,,,,
Marie,213,240,301,345,364,373,429,493,578,546
Mariel,963,773,947,,,,,,,
Mariela,821,472,652,719,564,745,676,583,808,922
Marilyn,432,382,459,416,491,510,542,572,514,569
Marin,,,,,,,,835,953,949
Marina,324,277,219,268,322,350,383,356,406,538
Mario,119,128,142,147,151,167,171,178,178,185
Marion,883,934,,,,,,,,
Marisa,255,220,148,169,213,303,327,335,498,643
Marisela,617,690,846,905,,,,,,
Marisol,400,383,367,234,385,394,398,396,321,444
Marissa,87,72,53,59,66,78,99,78,104,155
Maritza,486,427,447,472,551,553,565,415,496,561
Mariyah,,,,,,,,,896,748
Marjorie,887,841,994,,,,,,,
Mark,46,49,48,55,64,79,93,113,129,139
Markel,,,838,937,904,,,,,
Markell,,,830,,906,,,,,
Markus,501,514,508,588,631,624,654,638,630,682
Marla,805,1000,,,,,,,,
Marlee,,901,884,938,943,968,915,821,775,369
Marlen,,,,,,998,,,,
Marlena,969,812,840,927,944,,,,,
Marlene,390,358,456,476,573,513,538,483,515,621
Marley,,,902,856,752,695,630,515,415,764
Marlie,,,,,,,,,,912
Marlin,966,,,,,,,,,
Marlon,458,475,479,470,494,506,511,523,508,565
Marques,813,921,893,690,831,914,,789,802,962
Marquez,874,811,832,703,663,787,922,953,,
Marquis,258,295,282,295,357,422,501,447,553,581
Marquise,555,549,447,418,443,588,661,726,866,915
Marquita,789,874,,,,,,,,
Marsha,964,,,,,,,,,
Marshall,280,304,312,310,353,344,368,377,417,392
Martell,975,,,,,,,,,
Martez,785,776,,,,,,,,
Martha,229,246,292,323,374,375,424,505,526,617
Martika,757,,,,,,,,,
Martin,113,117,135,152,165,175,192,203,200,221
Martina,832,902,841,887,924,920,,,,
Marty,781,958,940,,,,,,,
Marvin,237,245,280,307,325,341,346,355,346,373
Mary,35,37,37,44,45,47,51,62,84,97
Maryam,,,,,,921,988,945,954,
Maryann,902,976,,,,,,,,
Maryjane,,,,,,,,,,951
Mason,208,148,125,104,83,64,53,51,39,35
Mateo,,,,698,513,429,355,321,274,251
Mathew,148,174,187,204,222,250,273,291,316,374
Mathias,,,,,,,,738,741,748
Matias,,,,,,,,888,816,812
Matilda,,,,,,,,,,829
Matteo,,,,,933,896,793,700,619,554
Matthew,3,3,3,2,3,3,4,4,5,10
Matthias,,,,,,,,815,813,772
Mattie,,,941,881,934,781,772,794,827,885
Maura,644,691,706,699,683,750,784,738,922,
Maureen,497,592,688,848,,,,,,
Maurice,205,246,294,324,327,345,378,386,400,405
Mauricio,547,496,520,488,472,413,353,368,368,369
Maverick,,,976,845,804,865,799,765,605,511
Max,172,171,191,208,158,164,165,164,160,126
Maxim,,,,,,962,959,893,852,701
Maximilian,684,611,521,497,441,391,326,341,348,300
Maximillian,,959,847,832,716,702,709,813,,943
Maximo,,,,,,,931,899,922,770
Maximus,,,,,,853,314,427,374,258
Maxine,,977,918,984,,,,,,
Maxwell,188,169,182,177,135,113,129,136,149,134
Maya,399,369,247,201,123,113,90,84,57,72
Mayra,195,200,229,316,361,478,502,601,656,769
Mckayla,,,611,453,369,430,455,535,579,515
Mckenna,,589,384,229,212,188,177,202,217,220
Mckenzie,490,291,192,158,142,133,143,151,165,151
Mckinley,,,,,,,,,964,891
Meadow,,,,,,,858,765,804,859
Meagan,126,157,169,193,263,355,451,595,745,
Meaghan,367,406,398,522,583,689,922,,,
Megan,11,10,10,12,13,18,22,36,60,100
Meghan,91,91,100,113,121,134,174,217,322,453
Mekhi,,,,,923,933,544,346,443,431
Melanie,86,98,120,119,135,114,94,89,83,85
Melany,,,,,,,685,584,466,425
Melina,833,728,714,734,793,543,554,627,546,521
Melinda,207,258,348,466,585,698,934,,,
Melisa,777,775,888,990,961,999,,952,,
Melissa,20,24,31,42,59,71,80,99,117,134
Melody,314,308,358,399,390,398,299,312,299,280
Melvin,278,325,352,400,418,459,316,433,425,479
Memphis,,,,,,,,,923,688
Menachem,,,833,944,,,,,,
Meranda,,,1000,,,,,,,
Mercedes,176,177,189,212,224,285,293,339,440,528
Meredith,190,199,230,237,280,293,357,333,310,445
Messiah,,,,,,,,,798,704
Mia,341,329,317,180,130,94,43,30,13,14
Miah,,,,,,,834,946,768,778
Micaela,811,796,468,450,462,611,750,810,961,968
Micah,907,769,725,628,582,642,642,757,714,892
Michael,750,788,969,1,1,2,2,2,2,2
Michaela,311,288,109,102,103,153,202,284,331,357
Micheal,175,207,233,262,271,302,348,392,419,475
Michel,894,,,,,,,,,
Michele,244,328,451,579,734,891,,,,
Michelle,22,25,33,47,55,52,58,66,80,103
Mickey,836,833,997,864,,,,,,
Miguel,101,90,94,91,90,86,88,97,89,101
Miguelangel,,,,,965,,,,,
Mikaela,773,799,314,280,295,379,490,558,641,540
Mikal,,,960,,,,,,,
Mikala,,,729,730,740,,,,,
Mikayla,711,566,168,143,82,108,125,156,153,170
Mike,507,545,617,534,630,599,597,623,680,756
Mikel,757,850,869,840,860,850,947,870,990,
Mikhail,967,,,,,,,,,
Mila,,,,,,,,,749,554
Milagros,,,,,,,,,,731
Miles,269,283,286,317,253,257,239,221,202,167
Miley,,,,,,,,,,127
Milo,,,,,,,807,766,679,449
Milton,566,560,623,620,747,652,695,754,845,923
Mina,,,,,,,948,886,995,909
Mindy,423,567,759,813,,,,,,
Mira,,,,,,,,909,935,898
Miracle,,,,735,633,524,522,485,482,484
Miranda,112,89,61,77,80,112,147,127,139,163
Mireya,,,,747,563,895,861,948,983,961
Miriam,285,270,277,289,310,281,284,274,292,309
Misael,999,812,839,770,741,689,696,649,620,672
Misty,278,351,509,620,719,907,,,,
Mitchel,572,609,498,568,641,751,923,,,
Mitchell,93,91,71,88,103,132,176,213,275,337
Miya,,,,,,,949,999,970,981
Moesha,,,,549,,,,,,
Mohamed,740,734,670,615,502,473,503,505,467,505
Mohammad,604,588,584,514,488,466,531,622,589,684
Mohammed,678,678,614,582,524,520,571,611,633,648
Moises,467,424,401,403,371,322,336,360,344,376
Mollie,462,499,539,551,557,581,659,776,756,711
Molly,80,83,96,99,108,95,107,97,105,104
Monica,76,77,88,81,105,167,180,226,250,317
Monika,785,907,933,801,930,,,,,
Monique,132,151,175,196,258,342,409,462,655,926
Monserrat,,,,,,860,686,701,702,674
Montana,,,778,777,821,593,684,994,868,
Monte,901,,,,,,,,,
Montel,,893,,994,,,,,,
Montrell,,940,,,,,,,,
Morgan,58,41,272,25,297,332,373,31,366,46
Moriah,801,479,498,488,545,674,852,848,900,823
Morris,761,868,977,,,,,,,
Moses,588,572,557,533,508,461,473,506,445,495
Moshe,702,813,717,634,654,660,632,614,662,685
Muhammad,,907,865,774,726,620,659,679,639,617
Mustafa,,,,,,,944,,,
Mya,,,,,238,175,145,115,101,102
Myah,,,,,787,831,720,786,647,604
Mychal,825,,,,,,,,,
Mykel,869,,,,,,,,,
Myla,,,,,,,,,918,602
Mylee,,,,,,,,,,433
Myles,428,390,346,366,304,290,301,296,311,266
Mylie,,,,,,,,,,836
Myra,701,761,832,846,919,935,916,,,
Myranda,,903,689,754,822,,,,,
Myron,679,680,762,851,809,923,,,,
Nadia,395,425,462,356,319,256,216,215,188,219
Nadine,694,759,825,864,798,888,,,,
Naima,,,,,,,,,888,944
Najee,941,928,880,921,946,,,,,
Nakia,,931,,,,,,,,
Nancy,131,143,145,172,208,233,233,289,326,379
Naomi,300,253,235,213,191,185,169,145,129,118
Nash,,,,,770,918,876,989,742,681
Nasir,,,,965,884,560,429,481,418,448
Natalee,,,,,,,,915,497,547
Natalia,478,366,376,337,270,219,173,142,94,108
Natalie,63,61,56,46,40,34,30,19,16,13
Nataly,913,929,831,781,745,700,558,461,397,370
Natalya,,,,,,,,,828,858
Natasha,105,120,133,170,205,280,304,304,357,413
Nathalia,,,,,,,,,783,953
Nathalie,662,668,607,598,444,571,591,622,538,588
Nathaly,,,,,,,,933,782,865
Nathan,44,44,40,37,34,30,28,20,23,21
Nathanael,523,497,500,473,408,408,455,443,462,514
Nathanial,650,617,618,628,544,584,635,686,724,931
Nathaniel,86,79,78,69,60,61,63,68,69,77
Nathen,,,,,949,874,855,777,806,861
Nautica,,,,,949,,,,,
Nayeli,,,,876,796,605,263,391,394,349
Neal,460,508,612,639,766,892,950,,,
Neha,,,,,,969,,,,
Nehemiah,,,,,828,698,652,581,362,364
Neil,261,323,350,405,463,496,574,624,604,709
Nelson,281,320,344,377,400,417,413,457,447,493
Nestor,626,598,631,689,727,727,850,879,927,
Nevaeh,,,,,,,190,104,43,34
Neveah,,,,,,,,,996,986
Nia,864,705,543,447,331,307,320,357,380,464
Nicholas,14,12,9,6,6,6,9,13,17,29
Nichole,151,191,223,355,427,494,650,773,945,
Nick,671,689,756,837,829,767,831,852,820,888
Nicklaus,,,967,,969,988,,,,
Nickolas,268,267,263,263,258,281,318,299,336,402
Nico,620,614,736,872,889,841,717,694,667,667
Nicolas,187,179,164,151,132,137,137,138,140,151
Nicole,13,14,11,22,24,31,37,43,74,106
Nicolette,511,343,328,423,580,589,758,854,997,
Nigel,573,516,478,524,537,576,666,772,709,815
Nikhil,,,,,954,866,890,861,874,870
Nikita,660,650,917,,645,882,,,,
Nikki,282,311,322,385,482,585,740,870,,
Nikko,904,889,993,,,,,,,
Niko,777,890,860,901,950,,993,957,983,827
Nikolai,,,,,,,,,,902
Nikolas,472,478,451,394,284,357,359,301,383,430
Nikole,837,948,895,,,,,,,
Nina,260,268,265,241,231,221,243,243,272,279
Noah,228,219,159,50,29,27,31,29,15,15
Noe,541,537,485,485,474,490,464,441,450,518
Noel,790,821,874,832,870,407,450,454,448,468
Noelia,,,,,,782,883,901,795,
Noelle,463,452,463,412,404,403,401,445,451,443
Noemi,592,587,588,588,561,602,594,603,634,624
Nohely,,,896,,,,,,,
Nola,,,,,,,,,,918
Nolan,302,247,259,257,233,180,172,161,145,131
Nora,431,473,474,451,476,501,468,306,245,216
Norah,,,,,,,,589,513,476
Norma,494,517,541,669,720,904,923,,,
Norman,470,504,572,648,652,671,810,848,,
Nya,,,,,,786,643,741,977,
Nyah,,,,,,789,615,,,
Nyasia,,,,,,931,978,938,807,947
Nyla,,,,,,,452,408,385,409
Nylah,,,,,,,,,,821
Octavia,618,597,695,840,876,,,,,
Octavio,695,709,783,645,800,683,690,653,669,865
Odalis,,,,911,890,,,,,
Odalys,,,,680,902,956,953,,,
Odin,,,,,,,,,,983
Olga,786,830,833,968,,,,,,
Olive,,,,,,,,,,813
Oliver,371,359,370,385,356,305,268,229,173,118
Olivia,72,58,50,34,21,16,10,4,7,6
Omar,159,145,145,140,146,146,151,147,131,145
Omari,,,,,850,924,707,569,715,544
Omarion,,,,,,,535,448,728,
Orion,,,894,787,540,553,584,550,529,538
Orlando,314,356,362,367,391,401,374,361,356,419
Osbaldo,,,,,,,976,,,
Oscar,135,130,123,125,129,122,121,123,118,119
Osvaldo,639,656,551,498,515,540,419,411,491,590
Oswaldo,,,,,,,885,713,546,963
Otis,697,851,941,,,,,,,
Owen,453,476,454,278,179,145,94,66,58,58
Pablo,357,332,327,331,310,298,295,303,292,328
Paige,79,64,63,65,63,69,50,51,76,88
Paisley,,,,,,,,,835,454
Paityn,,,,,,,,,,942
Paloma,,,959,959,979,896,930,851,853,789
Pamela,237,303,350,341,388,456,515,529,530,670
Paola,665,490,354,377,354,320,310,343,302,350
Paris,659,625,705,746,774,817,464,157,260,465
Parker,342,256,238,179,141,867,765,657,637,505
Patience,,,931,805,848,897,868,842,580,771
Patrice,471,644,817,,,,,,,
Patricia,97,111,135,159,180,228,279,316,413,498
Patrick,36,39,42,44,57,68,79,100,110,127
Paul,49,55,64,79,89,100,118,128,134,155
Paula,296,338,402,454,546,572,619,663,671,681
Paulina,571,551,555,512,533,477,363,414,499,587
Pauline,756,886,868,986,,,,,,
Paxton,,,,,917,941,843,884,777,422
Payten,,,,,,,,,,943
Payton,895,703,503,406,308,219,255,238,267,90
Pedro,197,188,190,198,200,210,225,226,219,248
Peggy,1000,,,,,,,,,
Penelope,,,,,,,715,647,481,358
Perla,636,576,519,495,487,518,415,360,387,478
Perry,455,519,536,583,624,684,762,808,958,
Pete,782,952,968,995,,,,,,
Peter,74,81,87,96,111,125,134,142,167,183
Peyton,947,763,546,336,221,183,205,162,154,60
Philip,111,138,168,185,214,255,263,307,343,378
Phillip,81,107,131,150,177,198,226,248,285,305
Phoebe,872,982,818,542,607,440,437,406,366,348
Phoenix,,,,,907,875,616,879,816,708
Phylicia,787,,,,,,,,,
Pierce,891,726,697,584,597,498,520,513,549,507
Pierre,495,603,737,853,805,926,948,,,989
Piper,,,,,,509,448,266,246,172
Porsha,736,847,970,,,,,,,
Porter,,,,,,804,685,625,476,481
Portia,844,,,,,,,,,
Pranav,,,,,,,894,767,892,935
Precious,452,442,399,378,380,437,423,559,555,791
Presley,,,,,989,790,695,564,348,337
Preston,198,202,192,189,176,142,155,152,114,124
Prince,917,948,,,851,887,983,797,825,749
Princess,760,870,910,923,794,815,859,745,709,939
Priscila,,,,,,,881,,,
Priscilla,167,179,196,261,240,275,285,348,372,416
Quentin,338,364,343,284,273,325,352,330,347,379
Quincy,502,505,471,487,574,507,430,470,489,513
Quinn,517,450,392,981,764,769,725,685,540,516
Quinten,861,982,789,676,675,691,750,828,860,887
Quintin,504,583,597,542,542,570,628,567,651,686
Quinton,297,353,310,302,337,379,411,476,477,464
Rachael,111,123,124,128,170,227,298,370,392,481
Racheal,637,666,719,836,,,,,,
Rachel,16,16,13,9,15,21,24,34,49,75
Rachelle,332,367,408,534,689,805,918,,,
Raegan,,,,,759,621,523,488,434,395
Raekwon,,,,483,683,,,,,
Raelynn,,,,,,,,,,906
Rafael,202,208,202,215,229,230,232,224,217,238
Raheem,771,509,517,625,738,919,,,,
Rahul,,,,,976,818,940,995,,
Raiden,,,,,,,,,,780
Raina,,,,,997,963,825,802,925,921
Rakeem,942,772,,,,,,,,
Ralph,385,441,489,504,584,586,629,711,764,868
Ramiro,478,456,457,452,495,497,505,532,567,649
Ramon,250,250,269,280,281,319,319,345,367,417
Randal,722,859,947,,,,,,,
Randall,192,235,267,321,382,442,514,571,622,695
Randi,338,359,393,501,655,861,,,,
Randolph,672,788,911,981,,,,,,
Randy,131,158,186,206,244,278,293,316,310,301
Raphael,465,578,651,656,668,621,680,670,681,630
Raquan,,,,879,,,,,,
Raquel,239,242,251,279,325,341,391,443,500,572
Rashaad,918,,,,,,,,,
Rashad,355,416,429,502,570,646,596,719,660,646
Rashawn,724,690,718,771,712,842,,,,
Rasheed,933,864,840,800,966,942,,,,
Raul,210,209,199,207,232,223,240,242,255,287
Raven,166,152,156,184,861,898,997,263,441,625
Ray,328,394,405,484,490,516,582,576,560,664
Rayan,,,,,,,,,996,871
Raymond,92,104,115,133,142,162,177,188,194,215
Raymundo,826,800,676,706,816,813,910,972,,
Rayna,,,,994,,996,813,780,811,761
Rayne,,,,,,,,,992,860
Reagan,,,704,930,929,876,772,596,792,972
Reanna,,,,,789,862,907,,,
Rebeca,725,711,642,716,707,708,877,735,854,
Rebecca,21,20,24,24,30,39,54,71,96,119
Rebekah,149,145,152,146,155,173,211,236,276,354
Reece,791,700,657,653,466,386,351,391,413,415
Reed,655,530,444,422,439,450,493,484,470,409
Reese,896,798,779,736,547,886,463,390,433,462
Regan,,894,612,489,431,467,396,419,567,685
Reggie,943,,,,,,,,,
Regina,281,331,381,414,503,531,628,653,603,688
Reginald,230,234,295,323,355,372,427,492,516,557
Reid,544,455,430,443,423,439,447,442,422,359
Reilly,,,,919,908,826,821,985,,951
Reina,,,975,900,891,850,,837,938,928
Remington,927,953,870,854,728,792,883,809,781,721
Renae,988,,,,,,,,,
Rene,303,328,334,368,397,387,421,450,492,561
Renee,184,215,267,298,338,362,419,476,582,734
Reuben,583,670,677,729,744,805,797,853,873,947
Rex,663,718,824,938,944,,,931,814,799
Rey,,,,,,981,924,983,854,857
Reyna,726,744,624,594,610,587,585,628,595,676
Reynaldo,536,606,607,677,721,758,671,701,834,944
Rhea,,,,,,,,910,,
Rhett,842,758,771,610,637,675,668,715,683,678
Rhianna,,,,,904,982,,,786,751
Rhiannon,672,676,586,713,465,454,535,624,738,
Rhonda,605,770,954,,,,,,,
Rhys,,,,,,,,938,915,679
Rianna,,,,,,,860,,,
Ricardo,121,115,119,128,125,134,143,143,152,149
Richard,35,40,41,45,55,65,77,92,99,107
Richelle,898,,,,,,,,,
Rick,510,575,637,724,885,930,,,,
Rickey,503,564,654,726,905,888,932,,,
Ricki,,,942,,,,,,,
Ricky,176,191,205,248,292,295,344,358,394,365
Rico,584,675,800,945,955,,,,,
Rigoberto,640,599,626,654,648,680,688,688,789,862
Rihanna,,,,,,,,,528,311
Rikki,824,794,614,960,,,,,,
Riley,827,555,351,248,166,131,99,58,55,39
Rishi,,,,,,,,976,,932
Rita,547,588,670,703,865,883,924,,,
River,,,927,632,499,611,612,549,511,461
Riya,,,,,,,955,964,958,994
Robbie,751,858,,,,,,,,
Robert,13,17,21,23,23,29,34,36,47,49
Roberta,939,,,,,,,,,
Roberto,150,159,162,175,172,187,188,202,215,234
Robin,595,596,685,809,912,599,848,956,,
Robyn,309,348,449,477,484,684,830,970,,
Rocco,870,941,,,,,763,537,490,418
Rochelle,377,445,544,681,873,,,,,
Rocio,548,529,549,673,673,776,805,860,940,
Rocky,657,752,804,922,985,908,,,973,
Roderick,387,431,486,535,627,614,637,720,730,936
Rodney,180,210,244,266,319,343,371,432,449,503
Rodolfo,401,383,388,415,411,423,504,499,519,680
Rodrick,827,881,935,996,,,,,,
Rodrigo,511,468,491,378,446,384,393,389,363,327
Rogelio,439,435,458,471,484,481,479,474,517,575
Roger,209,214,264,285,347,373,387,414,453,463
Rohan,,,,880,785,618,518,480,521,528
Roland,505,535,571,578,678,690,735,778,787,757
Rolando,497,500,463,523,497,518,536,526,571,604
Roman,374,374,377,363,338,321,286,239,209,205
Romello,,,,923,,,,,,
Romeo,,,,973,603,607,569,600,574,466
Ron,738,912,,,,,,,,
Ronald,97,112,137,156,182,203,227,232,251,308
Ronaldo,,,,,552,886,767,758,782,
Ronan,,,,,,,823,643,598,506
Ronin,,,,,,,,,997,804
Ronnie,262,309,361,391,436,482,552,541,563,618
Ronny,976,,,,,,,,,
Roosevelt,856,960,,,,,,,,
Rory,513,626,698,678,608,630,700,721,826,982
Rosa,242,235,228,291,278,316,341,416,400,457
Rosalinda,,,,,,701,,,,
Rose,307,318,339,379,297,299,331,355,350,344
Roselyn,,,,,,,,612,706,855
Rosemary,509,563,573,557,617,634,636,717,703,754
Ross,190,231,311,271,341,433,530,612,747,845
Rowan,,,,,,969,818,710,642,469
Roxana,686,757,783,806,,,862,976,,
Roxanna,899,,,,,,,,,
Roxanne,336,431,600,671,838,950,,,,
Roy,236,286,307,346,384,402,440,469,458,497
Royce,703,736,749,806,919,884,,,901,911
Ruben,177,178,181,190,205,207,219,218,227,259
Rubi,734,926,,,,,,613,615,576
Ruby,291,274,271,295,257,260,208,158,137,113
Rudolph,848,994,,,,,,,,
Rudy,388,387,441,478,526,557,565,559,628,632
Russell,142,185,234,260,299,320,328,366,404,406
Rusty,607,816,858,,,,,,,
Ruth,306,323,311,351,346,344,338,351,373,362
Ryan,525,604,618,599,528,579,530,433,455,534
Ryann,,,,,980,840,943,718,697,846
Ryder,,,949,,920,795,724,342,257,203
Ryker,,,,,,,,784,624,420
Rylan,,,,,662,567,475,374,258,217
Ryland,,,,,,,,904,686,608
Rylee,,,911,604,384,290,933,779,797,735
Ryleigh,,,,,,835,495,410,328,264
Ryley,,,,,,904,989,,,
Rylie,,,,,656,631,440,317,317,313
Ryne,624,676,897,891,,,,,,
Sabastian,,,,,,934,951,,,
Sabrina,118,112,97,58,68,92,135,149,197,185
Sade,569,651,601,751,911,,912,,,
Sadie,455,421,321,278,276,246,212,196,157,109
Sage,,745,798,661,611,543,575,658,689,750
Saige,,,,,,939,905,736,805,824
Salina,,944,788,,,,,,,
Sally,449,495,577,623,693,705,874,919,,
Salma,,,,,571,675,759,813,752,847
Salvador,293,292,300,303,331,330,343,343,390,435
Salvatore,567,557,573,602,609,582,595,663,817,892
Sam,395,400,412,430,460,462,443,439,463,458
Samantha,5,6,4,5,3,7,9,9,10,11
Samara,,,,,990,889,925,365,351,500
Samatha,880,,,,,,,,,
Samir,948,973,978,,869,831,839,806,835,842
Samira,,,,,,,908,995,,
Sammy,586,629,702,793,685,761,832,825,934,979
Samson,919,,964,,,899,891,954,887,948
Samuel,45,41,33,30,28,28,25,23,25,28
Sanaa,,,,,,,,677,607,770
Sanai,,,,,,,,,974,916
Sandra,134,153,171,181,228,257,275,280,364,442
Sandy,379,462,514,573,640,649,760,798,,
Saniya,,,,,,,,614,522,511
Saniyah,,,,,,,,894,710,543
Santana,,848,,,,,,,877,
Santiago,563,517,511,508,447,360,321,292,231,171
Santino,,,,,,,905,761,688,652
Santos,748,753,724,712,724,748,725,768,718,761
Sara,34,36,43,50,48,57,59,68,72,92
Sarah,6,5,5,4,5,5,8,12,15,20
Sarahi,,,,929,,,876,891,842,881
Sarai,881,797,734,589,616,560,517,472,443,404
Sariah,,,,,,,,,813,659
Sarina,,,880,714,820,826,888,,,
Sasha,198,296,374,380,433,476,368,368,336,363
Saul,409,375,389,304,307,286,289,289,297,329
Savana,,,,,887,730,838,902,931,
Savanah,,,605,563,496,590,601,702,625,825
Savanna,599,458,298,250,241,210,235,273,230,301
Savannah,204,142,82,43,44,37,39,41,30,33
Savion,,,,,730,819,572,901,867,828
Savon,,,795,,,,,,,
Sawyer,,595,469,525,503,458,498,436,247,225
Scarlet,,,,,,,,,843,646
Scarlett,,949,850,816,834,941,806,527,297,210
Schuyler,,,979,,,,,,,
Scott,53,61,79,108,123,158,185,214,253,322
Scotty,727,768,,,,,,,,
Seamus,,,,876,890,827,800,780,842,751
Sean,37,42,44,46,50,57,59,64,68,83
Sebastian,320,229,223,195,198,81,80,96,76,74
Selah,,,,,,,,,838,773
Selena,780,607,300,142,139,194,247,261,285,352
Selene,,995,,,,,,,987,
Selina,765,625,409,609,681,812,870,992,901,969
Semaj,,,,,,,751,737,693,696
Serena,505,491,404,309,221,209,244,303,396,374
Serenity,,,,,842,433,290,191,135,111
Sergio,161,157,160,167,171,179,186,199,195,209
Serina,,,,,959,,,,,
Seth,102,94,90,103,87,63,72,80,103,128
Shae,,,,,925,,,,,
Shaina,408,418,501,507,672,793,,,,
Shakira,888,745,743,647,861,844,536,,791,
Shamar,,,,865,700,549,649,876,800,933
Shameka,989,,,,,,,,,
Shamika,978,,,,,,,,,
Shana,349,423,578,653,839,,,,,
