Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Continent,Automatic / Manual,A / M digital
CHEVROLET,MALIBU,MID-SIZE,2.0,4.0,A9,Z,10.5,7.4,9.1,31.0,213.0,America,A,1
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4.0,AM7,X,10.3,7.7,9.2,31.0,213.0,Europe,A,1
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4.0,AM7,X,10.3,7.7,9.2,31.0,213.0,Europe,A,1
BMW,430I XDRIVE CABRIOLET,SUBCOMPACT,2.0,4.0,AS8,Z,10.6,7.3,9.1,31.0,213.0,Europe,A,1
FIAT,500X AWD,SUV - SMALL,1.3,4.0,A9,X,10.0,7.9,9.1,31.0,213.0,Europe,A,1
MERCEDES-BENZ,CLS 450 4MATIC,COMPACT,3.0,6.0,A9,Z,11.3,7.9,9.8,29.0,213.0,Europe,A,1
VOLKSWAGEN,GOLF R,COMPACT,2.0,4.0,AM7,Z,10.2,7.9,9.2,31.0,213.0,Europe,A,1
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4.0,AM7,X,10.3,7.7,9.1,31.0,213.0,Europe,A,1
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4.0,AM7,X,10.3,7.7,9.1,31.0,213.0,Europe,A,1
BMW,X1 XDRIVE28I,SUV - SMALL,2.0,4.0,AS8,Z,10.3,7.7,9.1,31.0,213.0,Europe,A,1
CADILLAC,CT4 AWD,COMPACT,2.0,4.0,AS8,Z,10.4,7.4,9.1,31.0,213.0,America,A,1
FORD,ESCAPE AWD,SUV - SMALL,2.0,4.0,AS8,X,10.4,7.5,9.1,31.0,213.0,America,A,1
LEXUS,ES 350,MID-SIZE,3.5,6.0,AS8,X,10.7,7.2,9.1,31.0,213.0,Asia,A,1
SUBARU,OUTBACK AWD,SUV - SMALL,2.4,4.0,AV8,X,10.1,7.9,9.1,31.0,213.0,Asia,A,1
ACURA,TSX,COMPACT,2.4,4.0,AS5,Z,10.6,7.5,9.2,31.0,212.0,America,A,1
AUDI,Q5 HYBRID,SUV - SMALL,2.0,4.0,AS8,Z,9.9,8.3,9.2,31.0,212.0,Europe,A,1
BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6.0,A8,Z,10.5,7.6,9.2,31.0,212.0,Europe,A,1
BUICK,ENCORE AWD,SUV - SMALL,1.4,4.0,AS6,X,10.2,8.0,9.2,31.0,212.0,America,A,1
DODGE,DART GT,MID-SIZE,2.4,4.0,A6,X,10.6,7.5,9.2,31.0,212.0,America,A,1
KIA,RONDO,STATION WAGON - MID-SIZE,2.0,4.0,A6,X,10.5,7.5,9.2,31.0,212.0,Asia,A,1
MERCEDES-BENZ,CLA 45 AMG 4MATIC,COMPACT,2.0,4.0,AS7,Z,10.3,7.8,9.2,31.0,212.0,Europe,A,1
PORSCHE,BOXSTER,TWO-SEATER,2.7,6.0,AM7,Z,10.7,7.4,9.2,31.0,212.0,Europe,A,1
PORSCHE,CAYMAN,TWO-SEATER,2.7,6.0,AM7,Z,10.7,7.4,9.2,31.0,212.0,Europe,A,1
SUBARU,XV CROSSTREK AWD,SUV - SMALL,2.0,4.0,M5,X,10.2,8.0,9.2,31.0,212.0,Asia,M,0
VOLKSWAGEN,JETTA GLI,COMPACT,2.0,4.0,M6,Z,10.6,7.4,9.2,31.0,212.0,Europe,M,0
ACURA,TLX,COMPACT,3.5,6.0,AS9,Z,11.2,6.9,9.2,31.0,212.0,America,A,1
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4.0,AM6,Z,10.4,7.7,9.2,31.0,212.0,Europe,A,1
CHEVROLET,IMPALA,FULL-SIZE,2.5,4.0,AS6,X,10.6,7.5,9.2,31.0,212.0,America,A,1
FORD,MUSTANG,SUBCOMPACT,2.3,4.0,M6,X,10.6,7.5,9.2,31.0,212.0,America,M,0
JEEP,COMPASS,SUV - SMALL,2.0,4.0,M5,X,10.2,7.8,9.2,31.0,212.0,America,M,0
JEEP,PATRIOT,SUV - SMALL,2.0,4.0,M5,X,10.2,7.8,9.2,31.0,212.0,America,M,0
MINI,JOHN COOPER WORKS,SUBCOMPACT,2.0,4.0,M6,Z,10.4,7.7,9.2,31.0,212.0,Europe,M,0
VOLKSWAGEN,BEETLE,COMPACT,2.0,4.0,M6,Z,10.4,7.7,9.2,31.0,212.0,Europe,M,0
VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,2.0,4.0,M6,Z,10.4,7.7,9.2,31.0,212.0,Europe,M,0
AUDI,A4,COMPACT,2.0,4.0,AV8,Z,9.9,7.6,8.9,32.0,212.0,Europe,A,1
BMW,535D XDRIVE,MID-SIZE,3.0,6.0,AS8,D,9.2,6.3,7.9,36.0,212.0,Europe,A,1
BMW,Z4 SDRIVE28I,TWO-SEATER,2.0,4.0,AS8,Z,10.7,7.1,9.1,31.0,212.0,Europe,A,1
LEXUS,GS 200T,MID-SIZE,2.0,4.0,AS8,Z,10.6,7.2,9.0,31.0,212.0,Asia,A,1
LEXUS,IS 200T,COMPACT,2.0,4.0,AS8,Z,10.6,7.2,9.0,31.0,212.0,Asia,A,1
MERCEDES-BENZ,C 300 4MATIC,COMPACT,2.0,4.0,AS7,Z,10.1,7.8,9.0,31.0,212.0,Europe,A,1
MINI,COOPER S COUNTRYMAN ALL4,COMPACT,1.6,4.0,AS6,Z,10.1,7.7,9.0,31.0,212.0,Europe,A,1
MINI,COOPER S PACEMAN ALL4,COMPACT,1.6,4.0,AS6,Z,10.1,7.7,9.0,31.0,212.0,Europe,A,1
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,COMPACT,1.6,4.0,AS6,Z,10.1,7.7,9.0,31.0,212.0,Europe,A,1
MINI,JOHN COOPER WORKS PACEMAN ALL4,COMPACT,1.6,4.0,AS6,Z,10.1,7.7,9.0,31.0,212.0,Europe,A,1
NISSAN,ALTIMA 3.5,MID-SIZE,3.5,6.0,AV7,X,10.3,7.4,9.0,31.0,212.0,Asia,A,1
TOYOTA,RAV4,SUV - SMALL,2.5,4.0,AS6,X,10.1,7.7,9.0,31.0,212.0,Asia,A,1
CHEVROLET,MALIBU,MID-SIZE,2.0,4.0,A9,Z,10.7,7.1,9.1,31.0,212.0,America,A,1
MERCEDES-BENZ,GLA 250 4MATIC,SUV - SMALL,2.0,4.0,AS7,Z,10.3,7.6,9.1,31.0,212.0,Europe,A,1
MITSUBISHI,LANCER 4WD,COMPACT,2.4,4.0,AV6,X,10.2,7.9,9.2,31.0,212.0,Asia,A,1
HYUNDAI,SONATA,FULL-SIZE,2.0,4.0,AS8,X,10.4,7.4,9.1,31.0,212.0,Asia,A,1
MINI,COOPER CLUBMAN ALL4,MID-SIZE,1.5,3.0,AS8,Z,10.2,7.6,9.0,31.0,212.0,Europe,A,1
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,2.4,4.0,AV6,X,9.9,8.1,9.1,31.0,212.0,Asia,A,1
MINI,COOPER S COUNTRYMAN ALL4,MID-SIZE,2.0,4.0,AS8,Z,10.4,7.5,9.1,31.0,212.0,Europe,A,1
AUDI,A6 QUATTRO,MID-SIZE,2.0,4.0,AS8,Z,10.8,7.3,9.2,31.0,211.0,Europe,A,1
AUDI,S3 QUATTRO,SUBCOMPACT,2.0,4.0,AM6,Z,10.1,7.7,9.0,31.0,211.0,Europe,A,1
BMW,228I,SUBCOMPACT,2.0,4.0,M6,Z,10.7,7.0,9.0,31.0,211.0,Europe,M,0
BMW,320I,COMPACT,2.0,4.0,M6,Z,10.7,7.0,9.0,31.0,211.0,Europe,M,0
BMW,428I CABRIOLET,SUBCOMPACT,2.0,4.0,AS8,Z,10.8,6.7,8.9,32.0,211.0,Europe,A,1
BMW,428I COUPE,COMPACT,2.0,4.0,M6,Z,10.7,7.0,9.0,31.0,211.0,Europe,M,0
BMW,428I GRAN COUPE,COMPACT,2.0,4.0,AS8,Z,10.8,6.7,8.9,32.0,211.0,Europe,A,1
BMW,X3 XDRIVE28D,SUV - SMALL,2.0,4.0,AS8,D,8.6,6.9,7.9,36.0,211.0,Europe,A,1
BMW,Z4 SDRIVE28I,TWO-SEATER,2.0,4.0,M6,Z,10.7,7.0,9.0,31.0,211.0,Europe,M,0
CHEVROLET,MALIBU,MID-SIZE,2.0,4.0,AS8,Z,10.6,7.1,9.0,31.0,211.0,America,A,1
HYUNDAI,TUCSON,SUV - SMALL,2.0,4.0,AS6,X,10.1,7.6,9.0,31.0,211.0,Asia,A,1
SCION,TC,COMPACT,2.5,4.0,AS6,X,10.2,7.6,9.0,31.0,211.0,Asia,A,1
BMW,430I XDRIVE CABRIOLET,SUBCOMPACT,2.0,4.0,AS8,Z,10.6,7.3,9.1,31.0,211.0,Europe,A,1
BMW,X3 XDRIVE28D,SUV - SMALL,2.0,4.0,AS8,D,8.7,7.1,8.0,35.0,211.0,Europe,A,1
JEEP,NEW COMPASS,SUV - SMALL,2.4,4.0,M6,X,10.4,7.3,9.0,31.0,211.0,America,M,0
JEEP,RENEGADE 4X4,SUV - SMALL,1.4,4.0,M6,X,9.9,7.7,8.9,32.0,211.0,America,M,0
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,2.4,4.0,AV6,X,9.8,8.1,9.0,31.0,211.0,Asia,A,1
SUBARU,IMPREZA 5-DOOR AWD,STATION WAGON - SMALL,2.0,4.0,M5,X,10.1,7.7,9.0,31.0,211.0,Asia,M,0
HONDA,ACCORD SPORT/TOURING,MID-SIZE,2.0,4.0,AS10,X,10.4,7.4,9.1,31.0,211.0,Asia,A,1
JEEP,COMPASS,SUV - SMALL,2.4,4.0,M6,X,10.4,7.3,9.0,31.0,211.0,America,M,0
LEXUS,LS 500H AWD,MID-SIZE,3.5,6.0,AV10,Z,10.3,7.6,9.1,31.0,211.0,Asia,A,1
MINI,JOHN COOPER WORKS CLUBMAN ALL4,MID-SIZE,2.0,4.0,AS8,Z,10.2,7.5,9.0,31.0,211.0,Europe,A,1
INFINITI,QX50 AWD,SUV - SMALL,2.0,4.0,AV8,Z,10.0,7.8,9.0,31.0,211.0,America,A,1
LEXUS,ES 350,MID-SIZE,3.5,6.0,AS8,X,10.6,7.2,9.1,31.0,211.0,Asia,A,1
VOLVO,XC40 T5 AWD,SUV - SMALL,2.0,4.0,AS8,Z,10.3,7.5,9.0,31.0,211.0,Europe,A,1
BUICK,REGAL,MID-SIZE,2.0,4.0,AS9,Z,10.3,7.4,9.0,31.0,211.0,America,A,1
BMW,428I GRAN COUPE,COMPACT,2.0,4.0,M6,Z,10.9,6.8,9.0,31.0,210.0,Europe,M,0
FORD,FUSION,MID-SIZE,2.0,4.0,AS6,X,10.5,7.0,8.9,32.0,210.0,America,A,1
LINCOLN,MKZ,MID-SIZE,2.0,4.0,AS6,X,10.5,7.0,8.9,32.0,210.0,America,A,1
MAZDA,CX-5 4WD,SUV - SMALL,2.5,4.0,AS6,X,9.8,7.9,9.0,31.0,210.0,Asia,A,1
MITSUBISHI,LANCER 4WD,COMPACT,2.4,4.0,AV6,X,10.2,7.8,9.1,31.0,210.0,Asia,A,1
SCION,TC,COMPACT,2.5,4.0,M6,X,10.2,7.7,9.0,31.0,210.0,Asia,M,0
ACURA,MDX HYBRID AWD,SUV - SMALL,3.0,6.0,AM7,Z,9.1,9.0,9.0,31.0,210.0,America,A,1
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4.0,M6,Z,10.4,7.3,9.0,31.0,210.0,Europe,M,0
BMW,230I XDRIVE COUPE,SUBCOMPACT,2.0,4.0,AS8,Z,10.2,7.4,9.0,31.0,210.0,Europe,A,1
HONDA,ACCORD,MID-SIZE,2.4,4.0,M6,X,10.4,7.4,9.0,31.0,210.0,Asia,M,0
KIA,RONDO,STATION WAGON - MID-SIZE,2.0,4.0,AS6,X,9.9,7.6,8.9,32.0,210.0,Asia,A,1
MINI,COOPER S 3 DOOR,SUBCOMPACT,2.0,4.0,M6,Z,10.2,7.3,8.9,32.0,210.0,Europe,M,0
MINI,COOPER S 5 DOOR,SUBCOMPACT,2.0,4.0,M6,Z,10.2,7.3,8.9,32.0,210.0,Europe,M,0
MINI,COOPER S CLUBMAN ALL4,MID-SIZE,2.0,4.0,AS8,Z,10.2,7.4,9.0,31.0,210.0,Europe,A,1
MINI,COOPER S CONVERTIBLE,MINICOMPACT,2.0,4.0,M6,Z,10.2,7.3,8.9,32.0,210.0,Europe,M,0
MINI,JOHN COOPER WORKS 3 DOOR,SUBCOMPACT,2.0,4.0,M6,Z,10.2,7.3,8.9,32.0,210.0,Europe,M,0
MINI,JOHN COOPER WORKS CLUBMAN ALL4,MID-SIZE,2.0,4.0,AS8,Z,10.2,7.4,9.0,31.0,210.0,Europe,A,1
TOYOTA,RAV4 LE/XLE,SUV - SMALL,2.5,4.0,AS6,X,10.0,7.8,9.0,31.0,210.0,Asia,A,1
BUICK,ENCORE AWD,SUV - SMALL,1.4,4.0,AS6,X,9.9,7.8,8.9,32.0,210.0,America,A,1
CHEVROLET,TRAX 4WD,SUV - SMALL,1.4,4.0,AS6,X,9.9,7.8,8.9,32.0,210.0,America,A,1
GMC,TERRAIN AWD,SUV - SMALL,1.5,4.0,A9,X,9.6,8.3,9.0,31.0,210.0,America,A,1
MINI,COOPER S 3 DOOR,SUBCOMPACT,2.0,4.0,M6,Z,10.3,7.4,9.0,31.0,210.0,Europe,M,0
MINI,COOPER S 5 DOOR,SUBCOMPACT,2.0,4.0,M6,Z,10.3,7.4,9.0,31.0,210.0,Europe,M,0
MINI,COOPER S CONVERTIBLE,MINICOMPACT,2.0,4.0,M6,Z,10.3,7.4,9.0,31.0,210.0,Europe,M,0
MINI,JOHN COOPER WORKS,SUBCOMPACT,2.0,4.0,M6,Z,10.3,7.4,9.0,31.0,210.0,Europe,M,0
TOYOTA,CAMRY,MID-SIZE,3.5,6.0,AS8,X,10.5,7.1,9.0,31.0,210.0,Asia,A,1
MINI,COOPER S 3 DOOR,SUBCOMPACT,2.0,4.0,M6,Z,10.2,7.4,9.0,31.0,210.0,Europe,M,0
MINI,COOPER S 5 DOOR,SUBCOMPACT,2.0,4.0,M6,Z,10.2,7.4,9.0,31.0,210.0,Europe,M,0
MINI,COOPER S CONVERTIBLE,MINICOMPACT,2.0,4.0,M6,Z,10.2,7.4,9.0,31.0,210.0,Europe,M,0
MINI,JOHN COOPER WORKS 3 DOOR,SUBCOMPACT,2.0,4.0,M6,Z,10.2,7.4,9.0,31.0,210.0,Europe,M,0
BMW,X2 M35I,SUV - SMALL,2.0,4.0,AS8,Z,10.0,7.8,9.0,31.0,210.0,Europe,A,1
GMC,TERRAIN AWD,SUV - SMALL,1.5,4.0,A9,X,9.5,8.3,9.0,31.0,210.0,America,A,1
MINI,JOHN COOPER WORKS CLUBMAN ALL4,MID-SIZE,2.0,4.0,AS8,Z,10.1,7.6,9.0,31.0,210.0,Europe,A,1
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,MID-SIZE,2.0,4.0,AS8,Z,10.0,7.8,9.0,31.0,210.0,Europe,A,1
SUBARU,IMPREZA 4-DOOR AWD,MID-SIZE,2.0,4.0,M5,X,10.1,7.6,9.0,31.0,210.0,Asia,M,0
VOLVO,XC40 T4 AWD,SUV - SMALL,2.0,4.0,AS8,X,10.2,7.5,9.0,31.0,210.0,Europe,A,1
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4.0,A6,Z,10.4,7.6,9.1,31.0,209.0,Europe,A,1
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4.0,A6,Z,10.4,7.6,9.1,31.0,209.0,Europe,A,1
BMW,328I XDRIVE,COMPACT,2.0,4.0,A8,Z,10.6,7.2,9.1,31.0,209.0,Europe,A,1
BMW,328I XDRIVE GRAN TURISMO,FULL-SIZE,2.0,4.0,A8,Z,10.6,7.2,9.1,31.0,209.0,Europe,A,1
BMW,328I XDRIVE TOURING,STATION WAGON - SMALL,2.0,4.0,A8,Z,10.6,7.2,9.1,31.0,209.0,Europe,A,1
BMW,528I XDRIVE,MID-SIZE,2.0,4.0,A8,Z,10.6,7.2,9.1,31.0,209.0,Europe,A,1
BMW,X1 XDRIVE28I,SUV - SMALL,2.0,4.0,A8,Z,10.6,7.2,9.1,31.0,209.0,Europe,A,1
BMW,Z4 SDRIVE28I,TWO-SEATER,2.0,4.0,A8,Z,10.8,7.1,9.1,31.0,209.0,Europe,A,1
CHEVROLET,EQUINOX,SUV - SMALL,2.4,4.0,A6,X,10.5,7.3,9.1,31.0,209.0,America,A,1
FORD,ESCAPE,SUV - SMALL,1.6,4.0,AS6,X,10.4,7.4,9.1,31.0,209.0,America,A,1
FORD,TAURUS,FULL-SIZE,2.0,4.0,AS6,X,10.5,7.3,9.1,31.0,209.0,America,A,1
GMC,TERRAIN,SUV - SMALL,2.4,4.0,A6,X,10.5,7.3,9.1,31.0,209.0,America,A,1
HONDA,ACCORD,MID-SIZE,3.5,6.0,A6,X,11.0,6.8,9.1,31.0,209.0,Asia,A,1
HONDA,CR-V,SUV - SMALL,2.4,4.0,A5,X,10.3,7.6,9.1,31.0,209.0,Asia,A,1
JEEP,COMPASS,SUV - SMALL,2.0,4.0,M5,X,10.2,7.8,9.1,31.0,209.0,America,M,0
JEEP,PATRIOT,SUV - SMALL,2.0,4.0,M5,X,10.2,7.8,9.1,31.0,209.0,America,M,0
KIA,SOUL,STATION WAGON - SMALL,2.0,4.0,A6,X,10.1,7.8,9.1,31.0,209.0,Asia,A,1
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,2.4,4.0,AV6,X,9.9,8.1,9.1,31.0,209.0,Asia,A,1
VOLKSWAGEN,BEETLE,COMPACT,2.0,4.0,A6,Z,10.3,7.7,9.1,31.0,209.0,Europe,A,1
AUDI,A4 QUATTRO,COMPACT,2.0,4.0,M6,Z,10.6,7.3,9.1,31.0,209.0,Europe,M,0
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4.0,M6,Z,10.6,7.3,9.1,31.0,209.0,Europe,M,0
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4.0,AM6,Z,10.4,7.6,9.1,31.0,209.0,Europe,A,1
BMW,228I XDRIVE CABRIOLET,SUBCOMPACT,2.0,4.0,AS8,Z,10.6,7.2,9.1,31.0,209.0,Europe,A,1
BMW,328I XDRIVE SEDAN,COMPACT,2.0,4.0,AS8,Z,10.6,7.2,9.1,31.0,209.0,Europe,A,1
BMW,328I XDRIVE GRAN TURISMO,FULL-SIZE,2.0,4.0,AS8,Z,10.6,7.2,9.1,31.0,209.0,Europe,A,1
BMW,328I XDRIVE TOURING,STATION WAGON - SMALL,2.0,4.0,AS8,Z,10.6,7.2,9.1,31.0,209.0,Europe,A,1
BMW,428I XDRIVE COUPE,COMPACT,2.0,4.0,AS8,Z,10.6,7.2,9.1,31.0,209.0,Europe,A,1
BMW,428I XDRIVE GRAN COUPE,COMPACT,2.0,4.0,AS8,Z,10.6,7.2,9.1,31.0,209.0,Europe,A,1
BMW,528I XDRIVE SEDAN,MID-SIZE,2.0,4.0,AS8,Z,10.6,7.2,9.1,31.0,209.0,Europe,A,1
BMW,X1 XDRIVE28I,SUV - SMALL,2.0,4.0,AS8,Z,10.6,7.2,9.1,31.0,209.0,Europe,A,1
BMW,Z4 SDRIVE28I,TWO-SEATER,2.0,4.0,AS8,Z,10.7,7.1,9.1,31.0,209.0,Europe,A,1
CHEVROLET,EQUINOX FFV,SUV - SMALL,2.4,4.0,A6,X,10.5,7.3,9.1,31.0,209.0,America,A,1
FORD,TAURUS,FULL-SIZE,2.0,4.0,AS6,X,10.5,7.4,9.1,31.0,209.0,America,A,1
GMC,TERRAIN FFV,SUV - SMALL,2.4,4.0,A6,X,10.5,7.3,9.1,31.0,209.0,America,A,1
HYUNDAI,SONATA,FULL-SIZE,2.0,4.0,AS6,X,10.4,7.4,9.1,31.0,209.0,Asia,A,1
MERCEDES-BENZ,CLA 45 AMG,COMPACT,2.0,4.0,AS7,Z,10.2,7.7,9.1,31.0,209.0,Europe,A,1
SUBARU,XV CROSSTREK AWD,SUV - SMALL,2.0,4.0,M5,X,10.2,7.7,9.1,31.0,209.0,Asia,M,0
VOLKSWAGEN,BEETLE,COMPACT,2.0,4.0,AM6,Z,10.0,7.9,9.1,31.0,209.0,Europe,A,1
AUDI,Q5 HYBRID QUATTRO,SUV - SMALL,2.0,4.0,AS8,Z,9.8,7.9,8.9,32.0,209.0,Europe,A,1
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4.0,AM6,X,10.1,7.8,9.1,31.0,209.0,Europe,A,1
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4.0,AM6,X,10.1,7.8,9.1,31.0,209.0,Europe,A,1
BMW,228I XDRIVE CABRIOLET,SUBCOMPACT,2.0,4.0,AS8,Z,10.5,6.9,8.9,32.0,209.0,Europe,A,1
BMW,328I XDRIVE,COMPACT,2.0,4.0,AS8,Z,10.5,6.9,8.9,32.0,209.0,Europe,A,1
BMW,328I XDRIVE GRAN TURISMO,FULL-SIZE,2.0,4.0,AS8,Z,10.5,6.9,8.9,32.0,209.0,Europe,A,1
BMW,328I XDRIVE TOURING,STATION WAGON - SMALL,2.0,4.0,AS8,Z,10.5,6.9,8.9,32.0,209.0,Europe,A,1
BMW,428I XDRIVE COUPE,COMPACT,2.0,4.0,AS8,Z,10.5,6.9,8.9,32.0,209.0,Europe,A,1
BMW,428I XDRIVE GRAN COUPE,COMPACT,2.0,4.0,AS8,Z,10.5,6.9,8.9,32.0,209.0,Europe,A,1
BMW,528I XDRIVE,MID-SIZE,2.0,4.0,AS8,Z,10.5,6.9,8.9,32.0,209.0,Europe,A,1
FORD,FUSION,MID-SIZE,2.5,4.0,AS6,X,10.5,6.9,8.9,32.0,209.0,America,A,1
JEEP,RENEGADE,SUV - SMALL,1.4,4.0,M6,X,9.9,7.7,8.9,32.0,209.0,America,M,0
KIA,FORTE KOUP,COMPACT,2.0,4.0,M6,X,9.9,7.6,8.8,32.0,209.0,Asia,M,0
NISSAN,JUKE NISMO RS AWD,STATION WAGON - SMALL,1.6,4.0,AV8,Z,9.5,8.3,8.9,32.0,209.0,Asia,A,1
ACURA,TLX A-SPEC,COMPACT,2.4,4.0,AM8,Z,10.2,7.4,8.9,32.0,209.0,America,A,1
CHEVROLET,EQUINOX AWD,SUV - SMALL,1.5,4.0,A6,X,9.8,7.9,8.9,32.0,209.0,America,A,1
MERCEDES-BENZ,GLA 250 4MATIC,SUV - SMALL,2.0,4.0,AM7,Z,10.1,7.6,9.0,31.0,209.0,Europe,A,1
CADILLAC,XT4,SUV - SMALL,2.0,4.0,AS9,Z,9.8,7.8,8.9,32.0,209.0,America,A,1
FORD,TRANSIT CONNECT VAN FFV,SPECIAL PURPOSE VEHICLE,2.0,4.0,AS8,E,13.3,11.8,12.6,22.0,209.0,America,A,1
SUBARU,IMPREZA 4-DOOR AWD,MID-SIZE,2.0,4.0,M5,X,10.1,7.5,8.9,32.0,209.0,Asia,M,0
CADILLAC,CT5,MID-SIZE,2.0,4.0,AS10,Z,10.4,7.3,9.0,31.0,209.0,America,A,1
VOLKSWAGEN,BEETLE TDI (MODIFIED),COMPACT,2.0,4.0,M6,D,8.8,6.1,7.7,37.0,208.0,Europe,M,0
AUDI,A3 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4.0,AM6,X,10.1,7.5,8.9,32.0,208.0,Europe,A,1
FORD,ESCAPE,SUV - SMALL,1.6,4.0,AS6,X,10.1,7.4,8.9,32.0,208.0,America,A,1
KIA,SOUL,STATION WAGON - SMALL,1.6,4.0,M6,X,9.9,7.8,9.0,31.0,208.0,Asia,M,0
KIA,SOUL,STATION WAGON - SMALL,2.0,4.0,AS6,X,9.8,7.5,8.8,32.0,208.0,Asia,A,1
KIA,SOUL ECO DYNAMICS,STATION WAGON - SMALL,2.0,4.0,AS6,X,9.7,7.7,8.8,32.0,208.0,Asia,A,1
NISSAN,JUKE NISMO RS AWD,STATION WAGON - SMALL,1.6,4.0,AV8,Z,9.4,8.1,8.8,32.0,208.0,Asia,A,1
TOYOTA,RAV4 LE/XLE,SUV - SMALL,2.5,4.0,AS6,X,10.0,7.6,8.9,32.0,208.0,Asia,A,1
BUICK,ENCORE AWD (LUV ENGINE),SUV - SMALL,1.4,4.0,AS6,X,9.8,7.7,8.8,32.0,208.0,America,A,1
CHEVROLET,TRAX AWD,SUV - SMALL,1.4,4.0,AS6,X,9.8,7.7,8.8,32.0,208.0,America,A,1
KIA,SOUL,STATION WAGON - SMALL,1.6,4.0,M6,X,9.7,7.8,8.8,32.0,208.0,Asia,M,0
SUBARU,IMPREZA 4-DOOR AWD,MID-SIZE,2.0,4.0,M5,X,10.0,7.5,8.9,32.0,208.0,Asia,M,0
VOLKSWAGEN,JETTA,COMPACT,2.0,4.0,M6,X,10.2,7.2,8.9,32.0,208.0,Europe,M,0
BMW,230I XDRIVE CABRIOLET,SUBCOMPACT,2.0,4.0,AS8,Z,10.2,7.2,8.9,32.0,208.0,Europe,A,1
BMW,330I XDRIVE,COMPACT,2.0,4.0,AS8,Z,10.2,7.2,8.9,32.0,208.0,Europe,A,1
BMW,330I XDRIVE GRAN TURISMO,FULL-SIZE,2.0,4.0,AS8,Z,10.2,7.2,8.9,32.0,208.0,Europe,A,1
BMW,330I XDRIVE TOURING,STATION WAGON - SMALL,2.0,4.0,AS8,Z,10.2,7.2,8.9,32.0,208.0,Europe,A,1
BMW,430I XDRIVE COUPE,COMPACT,2.0,4.0,AS8,Z,10.2,7.2,8.9,32.0,208.0,Europe,A,1
BMW,430I XDRIVE GRAN COUPE,COMPACT,2.0,4.0,AS8,Z,10.2,7.2,8.9,32.0,208.0,Europe,A,1
BMW,530I XDRIVE,MID-SIZE,2.0,4.0,AS8,Z,10.2,7.2,8.9,32.0,208.0,Europe,A,1
MAZDA,CX-5 4WD (CYLINDER DEACTIVATION),SUV - SMALL,2.5,4.0,AS6,X,9.8,7.9,9.0,31.0,208.0,Asia,A,1
MAZDA,MAZDA6 TURBO,MID-SIZE,2.5,4.0,AS6,X,10.0,7.5,8.9,32.0,208.0,Asia,A,1
MITSUBISHI,ECLIPSE CROSS,SUV - SMALL,1.5,4.0,AV8,X,9.4,8.4,8.9,32.0,208.0,Asia,A,1
FORD,TRANSIT CONNECT WAGON LWB FFV,SPECIAL PURPOSE VEHICLE,2.0,4.0,AS8,E,13.7,11.1,12.5,23.0,208.0,America,A,1
MAZDA,CX-30 4WD,SUV - SMALL,2.5,4.0,AS6,X,9.9,7.7,8.9,32.0,208.0,Asia,A,1
TOYOTA,GR SUPRA,TWO-SEATER,3.0,6.0,AS8,Z,9.9,7.7,8.9,32.0,208.0,Asia,A,1
VOLVO,S60 T5,COMPACT,2.0,4.0,AS8,Z,10.5,7.1,8.9,32.0,208.0,Europe,A,1
VOLVO,V60 T5,STATION WAGON - SMALL,2.0,4.0,AS8,Z,10.5,7.1,8.9,32.0,208.0,Europe,A,1
CHEVROLET,TRAX AWD,SUV - SMALL,1.4,4.0,AS6,X,10.0,7.8,9.0,31.0,207.0,America,A,1
FORD,FUSION,MID-SIZE,2.0,4.0,AS6,X,10.5,7.1,9.0,31.0,207.0,America,A,1
KIA,SOUL,STATION WAGON - SMALL,1.6,4.0,M6,X,9.9,7.8,9.0,31.0,207.0,Asia,M,0
LINCOLN,MKZ,MID-SIZE,2.0,4.0,AS6,X,10.5,7.1,9.0,31.0,207.0,America,A,1
